id,type,mission_campaign,event_name,draw_event_id,start_time,end_time,init_mission_id,function_control_id,open_mission,open_time,mission_event_opentime_white_list,token_item_id
1,2,-2|-3|-4,mission_event-10000001,,,,10005,,,,,
2,2,-6|-7,mission_event-10000002,,,,10018,,,,,
3,2,-10|-11|-12,mission_event-10000003,,,,10030,,,,,
4,2,-16|-17|-18,mission_event-10000004,,,,10092,,,,,
5,2,-24|-25|-26|-28,mission_event-10000005,,,,10156,,,,,
6,2,-31,mission_event-10000006,,,,10194,,,,,
7,2,-33,mission_event-10000007,,,,10294,,,,,
8,2,-36,mission_event-10000008,,,,10426,,,,,
12,2,-10000,mission_event-10000012,,,,10934,,,,,
13,2,-10001,mission_event-10000013,,,,10913,,,,,
14,2,-10002,mission_event-10000014,,,,10925,,,,,
15,2,-10003,mission_event-10000015,,,,10928,,,,,
16,2,-10004,mission_event-10000016,,,,11001,,,,,
17,2,-10005,mission_event-10000017,,,,10915,,,,,
18,2,-37,mission_event-10000018,,,,10481,,,,,
19,2,-51,mission_event-10000019,,,,11011,,,,,
20,2,-50,mission_event-10000020,,,,11083,,,,,
21,2,-41,mission_event-10000021,,,,10528,,,,,
22,2,-53,mission_event-10000022,,,,11116,,,,,
23,2,-40,mission_event-10000023,,,,10504,,,,,
24,2,-47,mission_event-10000024,,,,10780,,,,,
25,2,-52,mission_event-10000025,,,,11098,,,,,
26,2,-54,mission_event-10000026,,,,11166,,,,,
27,2,-42,mission_event-10000027,,,,10588,,,,,
28,2,-34,mission_event-10000028,,,,10381,,,,,
29,2,-44,mission_event-10000029,,,,10632,,,,,
30,2,-55,mission_event-10000030,,,,11320,,,,,
31,2,-56,mission_event-10000031,,,,11243,,,,,
32,2,-35,mission_event-10000032,,,,10385,,,,,
33,2,-49,mission_event-10000033,,,,10988,,,,,
34,2,-59,mission_event-10000034,,,,11321,,,,,
35,1,-57,mission_event-10000035,400|401|402|403|404,2023-02-17 10:00:00,2023-03-10 10:00:00,11261,,,,,
36,2,-58,mission_event-10000036,,,,11333,,,,,
37,2,-60,mission_event-10000037,,,,11435,,,,,
38,2,-40,mission_event-10000038,,,,10504,,,,,
39,2,-61,mission_event-10000039,,,,11436,,,,,
40,2,-10006,mission_event-10000040,,,,11484|11485,,,,,
41,2,-23,mission_event-10000041,,,,10105,,,,,
42,2,-62,mission_event-10000042,,,,11479,,,,,
43,2,-48,mission_event-10000043,,,,10799,,,,,
44,2,-29,mission_event-10000044,,,,10158,,,,,
45,2,-63,mission_event-10000045,,,,11497,,,,,
46,2,-39,mission_event-10000046,,,,10508,,,,,
48,1,-64,mission_event-10000048,400|401|402|403|404,2024-02-12 10:00:00,2024-03-21 10:00:00,11499,,,,,
49,2,-68,mission_event-10000049,,,,11631,,,,,
50,2,-45,mission_event-10000050,,,,10766,,,,,
51,2,-65,mission_event-10000051,,,,11549,,,,,
52,2,-69,mission_event-10000052,,,,11670,,,,,
53,2,-67,mission_event-10000053,,,,11630,,,,,
54,2,-70,mission_event-10000054,,,,11712,,,,,
55,2,-71,mission_event-10000055,,,,11730,,,,,
56,2,-72,mission_event-10000056,,,,11762,,,,,100243
57,2,-40401,mission_event-10000057,,,,11002,,,,,
58,1,-73,mission_event-10000058,400|401|402|403|404,2025-08-28 10:00:00,2025-09-18 10:00:00,11811,,,,,100286
59,2,-40402,mission_event-10000059,,,,11117,,,,,
60,2,-40403,mission_event-10000060,,,,11402|11403,,,,,
61,2,-74,mission_event-10000061,,,,11835,,,,,100250
62,2,-75,mission_event-10000062,,,,11883,,,,,100270
63,2,-76,mission_event-10000063,,,,11917,,,,,100282
64,2,-77,mission_event-10000064,,,,11946,,,,,100282
65,2,-78,mission_event-10000065,,,,11947,,,,,100291
66,2,-40404,mission_event-10000066,,,,11603,,,,,
67,1,-79,mission_event-10000067,400|401|402|403|404,2026-02-05 10:00:00,2026-02-26 10:00:00,11987,,,,,
