id,description,max_times,if_delete_buff,record_chara1,record_chara2,watch_trigger_type,watch_sp_trigger,activation_watch_trigger,activation_skills,sp_skill_target,record_watch_trigger,new_record_chara1,new_record_chara2,unactivation_skills,sp_unaskill_target,ending_watch_trigger,ending_activation_skills,sp_endingskill_target
1001,老李增益buff监视1,0,0,1000004731,0,1,0,1001,740058,0,0,1000004731,0,0,0,0,0,0
1002,老李增益buff监视2,0,0,1000004732,0,1,0,1002,740058,0,0,1000004732,0,0,0,0,0,0
1003,M327友方监视1,0,0,1000004765,0,1,750558,1005,750558,0,0,1000004765,0,0,0,0,0,0
1004,M327自身监视1,0,0,1000004765,0,1,0,1005,750559,0,0,1000004765,0,0,0,0,0,0
1005,M327友方监视2,0,0,1000004766,0,1,750558,1006,750558,0,0,1000004766,0,0,0,0,0,0
1006,M327自身监视2,0,0,1000004766,0,1,0,1006,750559,0,0,1000004766,0,0,0,0,0,0
1007,DP12换弹监视,0,0,0,0,4,0,1013,740065,0,0,0,0,0,0,0,0,0
1008,樱花受击监视,0,0,0,0,2,0,0,740073,0,0,0,0,0,0,0,0,0
1009,沃克监视友方射速,0,0,0,0,1,0,0,750614,1,0,0,0,0,0,0,0,0
1010,沃克监视敌方伤害,0,0,0,0,1,0,0,750615,1,0,0,0,0,0,0,0,0
1011,沃克监视友方技能,0,0,1000004895,0,1,750620,1007,750620,1,0,1000004895,0,0,0,0,0,0
1012,塔妹护盾死亡监视,0,0,0,0,7,750628,0,750630,0,0,0,0,0,0,0,0,0
1013,塔妹斩杀血量10%监视,1,0,0,0,2,0,1008,750638,1,0,0,0,0,0,0,0,0
1014,塔妹斩杀血量25%监视,1,0,0,0,2,0,1009,750639,1,0,0,0,0,0,0,0,0
1015,塔妹斩杀目标10%死亡,0,0,0,0,7,0,0,750640,0,0,0,0,0,0,0,0,0
1016,塔妹斩杀目标25%死亡,0,0,0,0,7,0,0,750641,0,0,0,0,0,0,0,0,0
1017,apc9k监视miss,0,0,0,0,2,0,1010,750748,0,0,0,0,0,0,0,0,0
1018,apc9k监视队长造成伤害,0,0,0,0,3,0,1011,750750,0,0,0,0,0,0,0,0,0
1019,监视队长在场-死亡,0,0,0,0,7,0,0,750753,0,0,0,0,0,0,0,0,0
1020,监视队长在场-撤退,0,0,0,0,6,0,0,750753,0,0,0,0,0,0,0,0,0
1021,监视队长在场-没有队长,0,0,0,0,1,"750753,750749",1012,750753,1,0,0,0,0,0,0,0,0
1022,离场监视,0,0,0,0,6,0,0,759082,0,0,0,0,0,0,0,0,0
1023,死亡监视,0,0,0,0,7,0,0,759082,0,0,0,0,0,0,0,0,0
1024,友方死亡监视,0,0,0,0,7,0,0,750779,0,0,0,0,0,0,0,0,0
1025,敌方死亡监视,0,0,0,0,7,0,0,750780,0,0,0,0,0,0,0,0,0
1026,友方掉编,0,0,1000005160,0,2,0,1015,750779,0,0,1000005160,0,0,0,0,0,0
1027,敌方掉编,0,0,1000005160,0,2,0,1015,750780,0,0,1000005160,0,0,0,0,0,0
