id,name,des,code,equip_unit,group_skill,fit_gun,is_addition
1,equip_group-10000001,equip_group-20000001,EgroupVec,"201,200,199","2:992050,3:992051",1028,1
2,equip_group-10000002,equip_group-20000002,EgroupHk416,"202,203,204","2:992052,3:992053",1029,1
3,equip_group-10000003,equip_group-20000003,EgroupM1891,"337,111,86",3:759100,20039,0
4,equip_group-10000004,equip_group-20000004,EgroupAR15,"100,338,60",3:759094,20057,0
5,equip_group-10000005,equip_group-20000005,EgroupAPS,"133,342,171",3:759134,20007,0
6,equip_group-10000006,equip_group-20000006,Egroup64type,"218,343,103",3:759143,20094,0
7,equip_group-10000007,equip_group-20000007,EgroupMP5,"62,348,157",3:759187,20026,0
8,equip_group-10000008,equip_group-20000008,EgroupMG4,"239,132,349",3:759192,20125,0
9,equip_group-10000009,equip_group-20000009,EgroupPM,"180,238,351",3:759219,20008,0
10,equip_group-10000010,equip_group-20000010,EgroupPPSh41,"352,272,219",3:759224,20021,0
11,equip_group-10000011,equip_group-20000011,EgroupPPK,"155,284,355",3:759242,20010,0
12,equip_group-10000012,equip_group-20000012,EgroupHK416KMod,"106,356,159",3:759236,20065,0
13,equip_group-10000013,equip_group-20000013,EgroupUMP45,"92,358,125",3:759092,20103,0
14,equip_group-10000014,equip_group-20000014,EgroupUMP9,"92,359,156",3:759093,20101,0
