id,name,des,code,equip_unit,group_skill,fit_gun,is_addition
1,equip_group-10000001,equip_group-20000001,EgroupVec,201|200|199,2:992050|3:992051,1028,1
2,equip_group-10000002,equip_group-20000002,EgroupHk416,202|203|204,2:992052|3:992053,1029,1
3,equip_group-10000003,equip_group-20000003,EgroupM1891,337|111|86,3:759100,20039,0
4,equip_group-10000004,equip_group-20000004,EgroupAR15,100|338|60,3:759094,20057,0
5,equip_group-10000005,equip_group-20000005,EgroupAPS,133|342|171,3:759134,20007,0
6,equip_group-10000006,equip_group-20000006,Egroup64type,218|343|103,3:759143,20094,0
7,equip_group-10000007,equip_group-20000007,EgroupMP5,62|348|157,3:759187,20026,0
8,equip_group-10000008,equip_group-20000008,EgroupMG4,239|132|349,3:759192,20125,0
9,equip_group-10000009,equip_group-20000009,EgroupPM,180|238|351,3:759219,20008,0
10,equip_group-10000010,equip_group-20000010,EgroupPPSh41,352|272|219,3:759224,20021,0
11,equip_group-10000011,equip_group-20000011,EgroupPPK,155|284|355,3:759242,20010,0
12,equip_group-10000012,equip_group-20000012,EgroupHK416KMod,106|356|159,3:759236,20065,0
13,equip_group-10000013,equip_group-20000013,EgroupUMP45,92|358|125,3:759092,20103,0
14,equip_group-10000014,equip_group-20000014,EgroupUMP9,92|359|156,3:759093,20101,0
15,equip_group-10000015,equip_group-20000015,Egroup88type,221|158|365,3:759276,20095,0
16,equip_group-10000016,equip_group-20000016,EgroupM1919A4,366|220|333,3:759271,20080,0
17,equip_group-10000017,equip_group-20000017,Egroup56-1type,83|368|299,3:759283,20066,0
18,equip_group-10000018,equip_group-20000018,EgroupMG3,369|285|107,3:759289,20088,0
19,equip_group-10000019,equip_group-20000019,EgroupNTW20,170|494|371,2:759295|3:759508,20053,0
20,equip_group-10000020,equip_group-20000020,Egroup97typeS,193|372|0,2:759300,20161,0
21,equip_group-10000021,equip_group-20000021,EgroupG3,124|491|374,2:759308|3:759505,20063,0
22,equip_group-10000022,equip_group-20000022,EgroupM1911,375|101|485,2:759312|3:759502,20002,0
23,equip_group-10000023,equip_group-20000023,EgroupLWMMG,0|131|385,2:1000103,20081,0
24,equip_group-10000024,equip_group-20000024,EgroupM950A,179|0|384,2:1000203,20097,0
25,equip_group-10000025,equip_group-20000025,EgroupG36,130|492|390,2:1000403|3:1000410,20064,0
26,equip_group-10000026,equip_group-20000026,EgroupRO635,192|391|0,2:1000503,20143,0
27,equip_group-10000027,equip_group-20000027,EgroupBrenMKMod,393|123|0,2:1001103,20089,0
28,equip_group-10000028,equip_group-20000028,EgroupAA12,394|174|0,2:1001203,163,0
29,equip_group-10000029,equip_group-20000029,EgroupSV98,398|489|115,2:1001403|3:1001406,20044,0
30,equip_group-10000030,equip_group-20000030,EgroupPKP,399|316|0,2:1001503,173,0
31,equip_group-10000031,equip_group-20000031,EgroupWelrod,406|0|213,2:1001703,20114,0
32,equip_group-10000032,equip_group-20000032,EgroupStenMK2,407|487|128,2:1001803|3:1001806,20029,0
33,equip_group-10000033,equip_group-20000033,EgroupSR3MP,409|0|249,2:1002003,135,0
34,equip_group-10000034,equip_group-20000034,EgroupStG44,490|136|410,2:1002103|3:1002106,20061,0
35,equip_group-10000035,equip_group-20000035,EgroupWA2000,414|217|0,2:1002303,48,0
36,equip_group-10000036,equip_group-20000036,EgroupM1895,113|486|415,2:1002403|3:1002406,20005,0
37,equip_group-10000037,equip_group-20000037,EgroupG41,0|419|127,2:1002903,62,0
38,equip_group-10000038,equip_group-20000038,EgroupM500,420|0|177,2:1003103,20154,0
39,equip_group-10000039,equip_group-20000039,EgroupRFB,169|0|422,2:1003303,172,0
40,equip_group-10000040,equip_group-20000040,EgroupM1873,122|423|493,2:1003403|3:1003406,20001,0
41,equip_group-10000041,equip_group-20000041,EgroupM82A1,427|283|0,2:1003803,231,0
42,equip_group-10000042,equip_group-20000042,EgroupIDW,102|0|428,2:1003903,20093,0
43,equip_group-10000043,equip_group-20000043,EgroupZB26,321|433|0,2:1004103,307,0
44,equip_group-10000044,equip_group-20000044,EgroupColtDefender,434|216|0,2:1004203,302,0
45,equip_group-10000045,equip_group-20000045,EgroupM1928A1,236|0|439,2:1004803,16,0
46,equip_group-10000046,equip_group-20000046,Egroup92type,0|296|440,2:1004903,20013,0
47,equip_group-10000047,equip_group-20000047,EgroupMDR,175|0|442,2:1005203,215,0
48,equip_group-10000048,equip_group-20000048,EgroupM14,0|129|443,2:1005303,20037,0
49,equip_group-10000049,equip_group-20000049,EgroupFP6,445|0|315,2:1005403,164,0
50,equip_group-10000050,equip_group-20000050,Egroup80type,215|446|0,2:1005503,20199,0
51,equip_group-10000051,equip_group-20000051,EgroupGrizzly,0|448|237,2:1006103,96,0
52,equip_group-10000052,equip_group-20000052,EgroupMAB38,0|449|166,2:1006203,20031,0
53,equip_group-10000053,equip_group-20000053,EgroupDSR50,0|452|405,2:1006403,179,0
54,equip_group-10000054,equip_group-20000054,EgroupAR,0|453|205,2:1006503,20071,0
55,equip_group-10000055,equip_group-20000055,EgroupMG5,0|386|455,2:1006703,109,0
56,equip_group-10000056,equip_group-20000056,EgroupRMB93,240|0|456,2:1006803,20159,0
57,equip_group-10000057,equip_group-20000057,EgroupP90,458|0|277,2:1007003,245,0
58,equip_group-10000058,equip_group-20000058,EgroupK5,459|0|334,2:1007103,20212,0
59,equip_group-10000059,equip_group-20000059,EgroupAUG,295|0|462,2:1007903,73,0
60,equip_group-10000060,equip_group-20000060,EgroupM1903,59|0|463,2:1008003,36,0
61,equip_group-10000061,equip_group-20000061,EgroupSaiga12,465|0|292,2:1008203,160,0
62,equip_group-10000062,equip_group-20000062,EgroupPK,466|264|0,2:1008303,85,0
63,equip_group-10000063,equip_group-20000063,EgroupCZ75,270|469|0,2:1009203,166,0
64,equip_group-10000064,equip_group-20000064,EgroupF1,214|0|470,2:1009303,20178,0
65,equip_group-10000065,equip_group-20000065,EgroupVSK94,474|0|354,2:1009603,312,0
66,equip_group-10000066,equip_group-20000066,EgroupRibeyrolles,261|0|475,2:1009703,20171,0
67,equip_group-10000067,equip_group-20000067,EgroupLewis,483|447|0,2:1011003,253,0
68,equip_group-10000068,equip_group-20000068,EgroupM1897,484|206|0,2:1011103,20152,0
69,equip_group-10000069,equip_group-20000069,EgrouC96,167|488|353,3:1011204,20012,0
70,equip_group-10000070,equip_group-20000070,EgroupASVAL,497|135|360,3:1011504,20060,0
71,equip_group-10000071,equip_group-20000071,EgroupMLEMK1,298|160|495,3:1011304,20050,0
72,equip_group-10000072,equip_group-20000072,Egroup98K,496|105|297,3:1011404,20046,0
