id,name,description,icon,type,timing,scout_selection_id,scout_majority_coef,scout_manority_coef,is_active,theater_event_id
1,theater_incident-10000001,theater_incident-20000001,TheaterIncident1,1,1,"101,102,103",50,200,1,10
2,theater_incident-10000002,theater_incident-20000002,TheaterIncident1,1,2,"101,102,103",50,200,1,10
3,theater_incident-10000003,theater_incident-20000003,TheaterIncident1,1,3,"101,102,103",50,200,1,10
4,theater_incident-10000004,theater_incident-20000004,TheaterIncident1,1,4,"101,102,103",50,200,1,10
5,theater_incident-10000005,theater_incident-20000005,TheaterIncident1,1,5,"101,102,103",50,200,1,10
6,theater_incident-10000006,theater_incident-20000006,TheaterIncident1,1,6,"101,102,103",50,200,1,10
7,theater_incident-10000007,theater_incident-20000007,TheaterIncident1,1,7,"101,102,103",50,200,1,10
8,theater_incident-10000008,theater_incident-20000008,TheaterIncident1,1,8,"101,102,103",50,200,1,10
9,theater_incident-10000009,theater_incident-20000009,TheaterIncident1,1,9,"101,102,103",50,200,1,10
10,theater_incident-10000010,theater_incident-20000010,TheaterIncident1,1,10,"101,102,103",50,200,1,10
11,theater_incident-10000011,theater_incident-20000011,TheaterIncident1,1,11,"101,102,103",50,200,1,10
12,theater_incident-10000012,theater_incident-20000012,TheaterIncident1,1,12,"101,102,103",50,200,1,10
13,theater_incident-10000013,theater_incident-20000013,TheaterIncident1,1,13,"101,102,103",50,200,1,10
14,theater_incident-10000014,theater_incident-20000014,TheaterIncident1,1,14,"101,102,103",50,200,1,10
15,theater_incident-10000015,theater_incident-20000015,TheaterIncident1,1,15,"101,102,103",50,200,1,10
16,theater_incident-10000016,theater_incident-20000016,TheaterIncident1,1,16,"101,102,103",50,200,1,10
17,theater_incident-10000017,theater_incident-20000017,TheaterIncident1,1,17,"101,102,103",50,200,1,10
18,theater_incident-10000018,theater_incident-20000018,TheaterIncident1,1,18,"101,102,103",50,200,1,10
19,theater_incident-10000019,theater_incident-20000019,TheaterIncident1,1,19,"101,102,103",50,200,1,10
20,theater_incident-10000020,theater_incident-20000020,TheaterIncident1,1,20,"101,102,103",50,200,1,10
21,theater_incident-10000021,theater_incident-20000021,TheaterIncident1,1,21,"101,102,103",50,200,1,10
22,theater_incident-10000022,theater_incident-20000022,TheaterIncident1,1,22,"101,102,103",50,200,1,10
23,theater_incident-10000023,theater_incident-20000023,TheaterIncident1,1,23,"101,102,103",50,200,1,10
24,theater_incident-10000024,theater_incident-20000024,TheaterIncident1,1,24,"101,102,103",50,200,1,10
25,theater_incident-10000025,theater_incident-20000025,TheaterIncident1,1,25,"101,102,103",50,200,1,10
