id,code_a,description_a,description_b,description_c,code_b,is_manual_target,use_fairy_ui
10001,Boomer,manual_ui-10010001,manual_ui-20010001,manual_ui-30010001,Console_Icon,0,0
10002,Boomer,manual_ui-10010002,manual_ui-20010002,manual_ui-30010002,Console_Icon,2,0
10101,Build_PortableEMP,manual_ui-10010101,manual_ui-20010101,manual_ui-30010101,Console_Icon,0,0
10102,Build_PortableEMP,manual_ui-10010102,manual_ui-20010102,manual_ui-30010102,Console_Icon,2,0
363001,Boomer,manual_ui-10363001,manual_ui-20363001,manual_ui-30363001,Squad_Icon,0,0
363002,Build_PortableEMP,manual_ui-10363002,manual_ui-20363002,manual_ui-30363002,Squad_Icon,2,0
381401,GunBox,manual_ui-10381401,manual_ui-20381401,manual_ui-30381401,Squad_Icon,0,0
381434,GunBox,manual_ui-10381434,manual_ui-20381434,manual_ui-30381434,Squad_Icon,0,0
381435,GunBox,manual_ui-10381435,manual_ui-20381435,manual_ui-30381435,Squad_Icon,0,0
381436,GunBox,manual_ui-10381436,manual_ui-20381436,manual_ui-30381436,Squad_Icon,0,0
381437,GunBox,manual_ui-10381437,manual_ui-20381437,manual_ui-30381437,Squad_Icon,0,0
381438,GunBox,manual_ui-10381438,manual_ui-20381438,manual_ui-30381438,Squad_Icon,0,0
381501,Console,manual_ui-10381501,manual_ui-20381501,manual_ui-30381501,Squad_Icon,0,0
381502,Console,manual_ui-10381502,manual_ui-20381502,manual_ui-30381502,Squad_Icon,0,0
390101,Console,manual_ui-10390101,manual_ui-20390101,manual_ui-30390101,Squad_Icon,0,0
390102,Console,manual_ui-10390102,manual_ui-20390102,manual_ui-30390102,Squad_Icon,0,0
390103,Console,manual_ui-10390103,manual_ui-20390103,manual_ui-30390103,Squad_Icon,0,0
390104,Console,manual_ui-10390104,manual_ui-20390104,manual_ui-30390104,Squad_Icon,0,0
390133,AirportTower,manual_ui-10390133,manual_ui-20390133,manual_ui-30390133,Squad_Icon,0,0
390135,AirportTower,manual_ui-10390135,manual_ui-20390135,manual_ui-30390135,Squad_Icon,0,0
390137,AirportTower,manual_ui-10390137,manual_ui-20390137,manual_ui-30390137,Squad_Icon,0,0
390139,AirportTower,manual_ui-10390139,manual_ui-20390139,manual_ui-30390139,Squad_Icon,0,0
410311,Console,manual_ui-10410311,manual_ui-20410311,manual_ui-30410311,Squad_Icon,0,0
410313,Console,manual_ui-10410313,manual_ui-20410313,manual_ui-30410313,Squad_Icon,0,0
410321,Console,manual_ui-10410321,manual_ui-20410321,manual_ui-30410321,Squad_Icon,0,0
410322,Console,manual_ui-10410322,manual_ui-20410322,manual_ui-30410322,Squad_Icon,0,0
410323,Console,manual_ui-10410323,manual_ui-20410323,manual_ui-30410323,Squad_Icon,0,0
410341,Console,manual_ui-10410341,manual_ui-20410341,manual_ui-30410341,Squad_Icon,0,0
410342,Console,manual_ui-10410342,manual_ui-20410342,manual_ui-30410342,Squad_Icon,0,0
410343,Console,manual_ui-10410343,manual_ui-20410343,manual_ui-30410343,Squad_Icon,0,0
410344,Console,manual_ui-10410344,manual_ui-20410344,manual_ui-30410344,Squad_Icon,0,0
410351,Console,manual_ui-10410351,manual_ui-20410351,manual_ui-30410351,Squad_Icon,0,0
410353,PortalBlue,manual_ui-10410353,manual_ui-20410353,manual_ui-30410353,Squad_Icon,1,0
410363,Boomer,manual_ui-10410363,manual_ui-20410363,manual_ui-30410363,Squad_Icon,0,0
410364,Build_PortableEMP,manual_ui-10410364,manual_ui-20410364,manual_ui-30410364,Squad_Icon,0,0
410365,Boomer,manual_ui-10410365,manual_ui-20410365,manual_ui-30410365,Squad_Icon,1,0
410366,Build_PortableEMP,manual_ui-10410366,manual_ui-20410366,manual_ui-30410366,Squad_Icon,1,0
411800,Console,manual_ui-10411800,manual_ui-20411800,manual_ui-30411800,Squad_Icon,0,0
411808,Console,manual_ui-10411808,manual_ui-20411808,manual_ui-30411808,Squad_Icon,0,0
411816,Console,manual_ui-10411816,manual_ui-20411816,manual_ui-30411816,Squad_Icon,0,0
411824,Console,manual_ui-10411824,manual_ui-20411824,manual_ui-30411824,Squad_Icon,0,0
411832,Console,manual_ui-10411832,manual_ui-20411832,manual_ui-30411832,Squad_Icon,0,0
411833,Console,manual_ui-10411833,manual_ui-20411833,manual_ui-30411833,Squad_Icon,0,0
411836,Console,manual_ui-10411836,manual_ui-20411836,manual_ui-30411836,Squad_Icon,0,0
411837,Console,manual_ui-10411837,manual_ui-20411837,manual_ui-30411837,Squad_Icon,0,0
420101,Console,manual_ui-10420101,manual_ui-20420101,manual_ui-30420101,Console_Icon,0,0
420102,Console,manual_ui-10420102,manual_ui-20420102,manual_ui-30420102,Squad_Icon,0,0
420103,Console,manual_ui-10420103,manual_ui-20420103,manual_ui-30420103,Console_Icon,0,0
420104,Console,manual_ui-10420104,manual_ui-20420104,manual_ui-30420104,Squad_Icon,0,0
420105,Console,manual_ui-10420105,manual_ui-20420105,manual_ui-30420105,Squad_Icon,0,0
420106,PortalBlue,manual_ui-10420106,manual_ui-20420106,manual_ui-30420106,Squad_Icon,1,0
420107,Console,manual_ui-10420107,manual_ui-20420107,manual_ui-30420107,Squad_Icon,0,0
420108,Console,manual_ui-10420108,manual_ui-20420108,manual_ui-30420108,Squad_Icon,0,0
420109,Console,manual_ui-10420109,manual_ui-20420109,manual_ui-30420109,Squad_Icon,0,0
440001,dandelionskill01,manual_ui-10440001,manual_ui-20440001,manual_ui-30440001,Squad_Icon,2,1
440002,dandelionskill02,manual_ui-10440002,manual_ui-20440002,manual_ui-30440002,Squad_Icon,2,1
440003,dandelionskill03,manual_ui-10440003,manual_ui-20440003,manual_ui-30440003,Squad_Icon,0,1
440500,gkemblem,manual_ui-10440500,manual_ui-20440500,manual_ui-30440500,Squad_Icon,0,0
440801,Console,manual_ui-10440801,manual_ui-20440801,manual_ui-30440801,Squad_Icon,0,0
440911,Console,manual_ui-10440911,manual_ui-20440911,manual_ui-30440911,Squad_Icon,0,0
440914,Console,manual_ui-10440914,manual_ui-20440914,manual_ui-30440914,Squad_Icon,0,0
442001,Console,manual_ui-10442001,manual_ui-20442001,manual_ui-30442001,Squad_Icon,0,0
442011,Console,manual_ui-10442011,manual_ui-20442011,manual_ui-30442011,Squad_Icon,0,0
442012,Console,manual_ui-10442012,manual_ui-20442012,manual_ui-30442012,Squad_Icon,0,0
442013,Console,manual_ui-10442013,manual_ui-20442013,manual_ui-30442013,Squad_Icon,0,0
442014,Console,manual_ui-10442014,manual_ui-20442014,manual_ui-30442014,Squad_Icon,0,0
442015,Console,manual_ui-10442015,manual_ui-20442015,manual_ui-30442015,Squad_Icon,0,0
442016,Console,manual_ui-10442016,manual_ui-20442016,manual_ui-30442016,Squad_Icon,0,0
442301,Console,manual_ui-10442301,manual_ui-20442301,manual_ui-30442301,Squad_Icon,0,0
480101,PortalBlue,manual_ui-10480101,manual_ui-20480101,manual_ui-30480101,Console_Icon,0,0
480102,Build_PortableEMP,manual_ui-10480102,manual_ui-20480102,manual_ui-30480102,Console_Icon,0,0
480103,Console_P,manual_ui-10480103,manual_ui-20480103,manual_ui-30480103,Console_Icon,0,0
480111,PortalBlue,manual_ui-10480111,manual_ui-20480111,manual_ui-30480111,Console_Icon,2,0
480121,Build_PortableEMP,manual_ui-10480121,manual_ui-20480121,manual_ui-30480121,Console_Icon,0,0
480122,Build_PortableEMP,manual_ui-10480122,manual_ui-20480122,manual_ui-30480122,Console_Icon,2,0
480131,Console_P,manual_ui-10480131,manual_ui-20480131,manual_ui-30480131,Console_Icon,0,0
480141,Console_P,manual_ui-10480141,manual_ui-20480141,manual_ui-30480141,Console_Icon,0,0
480151,Console_P,manual_ui-10480151,manual_ui-20480151,manual_ui-30480151,Console_Icon,0,0
481412,Console_P,manual_ui-10481412,manual_ui-20481412,manual_ui-30481412,Console_Icon,0,0
481414,Detonator,manual_ui-10481414,manual_ui-20481414,manual_ui-30481414,Console_Icon,0,0
481812,EMP,manual_ui-10481812,manual_ui-20481812,manual_ui-30481812,Console_Icon,0,0
481813,Substation,manual_ui-10481813,manual_ui-20481813,manual_ui-30481813,Console_Icon,0,0
481906,Boomer,manual_ui-10481906,manual_ui-20481906,manual_ui-30481906,Console_Icon,0,0
481912,LiftBlue,manual_ui-10481912,manual_ui-20481912,manual_ui-30481912,Console_Icon,2,0
481913,Console_P,manual_ui-10481913,manual_ui-20481913,manual_ui-30481913,Console_Icon,0,0
481915,Door_Left_S,manual_ui-10481915,manual_ui-20481915,manual_ui-30481915,Console_Icon,0,0
482001,Build_PortableEMP,manual_ui-10482001,manual_ui-20482001,manual_ui-30482001,Console_Icon,0,0
482002,Door_Left_S,manual_ui-10482002,manual_ui-20482002,manual_ui-30482002,Console_Icon,0,0
482201,Door_Left_S,manual_ui-10482201,manual_ui-20482201,manual_ui-30482201,Console_Icon,0,0
482203,Console_P,manual_ui-10482203,manual_ui-20482203,manual_ui-30482203,Console_Icon,0,0
482208,Boomer,manual_ui-10482208,manual_ui-20482208,manual_ui-30482208,Console_Icon,0,0
482215,Console_P,manual_ui-10482215,manual_ui-20482215,manual_ui-30482215,Console_Icon,0,0
482219,Boomer,manual_ui-10482219,manual_ui-20482219,manual_ui-30482219,Console_Icon,0,0
482300,Console_P,manual_ui-10482300,manual_ui-20482300,manual_ui-30482300,Console_Icon,2,0
482315,Detonator,manual_ui-10482315,manual_ui-20482315,manual_ui-30482315,Console_Icon,0,0
482411,Console_P,manual_ui-10482411,manual_ui-20482411,manual_ui-30482411,Console_Icon,0,0
482431,Console_P,manual_ui-10482431,manual_ui-20482431,manual_ui-30482431,Console_Icon,2,0
482432,Console_P,manual_ui-10482432,manual_ui-20482432,manual_ui-30482432,Console_Icon,2,0
482433,Console_P,manual_ui-10482433,manual_ui-20482433,manual_ui-30482433,Console_Icon,2,0
482434,Console_P,manual_ui-10482434,manual_ui-20482434,manual_ui-30482434,Console_Icon,2,0
482435,Console_P,manual_ui-10482435,manual_ui-20482435,manual_ui-30482435,Console_Icon,2,0
482436,Console_P,manual_ui-10482436,manual_ui-20482436,manual_ui-30482436,Console_Icon,0,0
482501,Console_P,manual_ui-10482501,manual_ui-20482501,manual_ui-30482501,Console_Icon,0,0
482509,Console_P,manual_ui-10482509,manual_ui-20482509,manual_ui-30482509,Console_Icon,0,0
482512,Door_Left_S,manual_ui-10482512,manual_ui-20482512,manual_ui-30482512,Console_Icon,0,0
482513,PortalBlue,manual_ui-10482513,manual_ui-20482513,manual_ui-30482513,Console_Icon,0,0
483401,Console_P,manual_ui-10483401,manual_ui-20483401,manual_ui-30483401,Console_Icon,0,0
483501,Boomer,manual_ui-10483501,manual_ui-20483501,manual_ui-30483501,Console_Icon,0,0
483502,Boomer,manual_ui-10483502,manual_ui-20483502,manual_ui-30483502,Console_Icon,0,0
483511,Boomer,manual_ui-10483511,manual_ui-20483511,manual_ui-30483511,Console_Icon,2,0
483611,Boomer,manual_ui-10483611,manual_ui-20483611,manual_ui-30483611,Console_Icon,0,0
483902,Viscosity_Bomb,manual_ui-10483902,manual_ui-20483902,manual_ui-30483902,Console_Icon,0,0
483903,Viscosity_Bomb,manual_ui-10483903,manual_ui-20483903,manual_ui-30483903,Console_Icon,0,0
484170,Console_P,manual_ui-10484170,manual_ui-20484170,manual_ui-30484170,Console_Icon,0,0
500000,2022WV00,manual_ui-10500000,manual_ui-20500000,manual_ui-30500000,Console_Icon,0,0
500001,2022WV21,manual_ui-10500001,manual_ui-20500001,manual_ui-30500001,Console_Icon,0,0
500002,2022WV22,manual_ui-10500002,manual_ui-20500002,manual_ui-30500002,Console_Icon,0,0
500003,2022WV23,manual_ui-10500003,manual_ui-20500003,manual_ui-30500003,Console_Icon,0,0
500004,2022WV24,manual_ui-10500004,manual_ui-20500004,manual_ui-30500004,Console_Icon,0,0
500005,2022WV25,manual_ui-10500005,manual_ui-20500005,manual_ui-30500005,Console_Icon,0,0
500006,2022WV11,manual_ui-10500006,manual_ui-20500006,manual_ui-30500006,Console_Icon,0,0
500007,2022WV12,manual_ui-10500007,manual_ui-20500007,manual_ui-30500007,Console_Icon,0,0
500020,2022WV01,manual_ui-10500020,manual_ui-20500020,manual_ui-30500020,Console_Icon,0,0
500021,2022WV10,manual_ui-10500021,manual_ui-20500021,manual_ui-30500021,Console_Icon,0,0
500022,2022WV02,manual_ui-10500022,manual_ui-20500022,manual_ui-30500022,Console_Icon,0,0
500023,2022WV03,manual_ui-10500023,manual_ui-20500023,manual_ui-30500023,Console_Icon,0,0
500024,2022WV04,manual_ui-10500024,manual_ui-20500024,manual_ui-30500024,Console_Icon,0,0
500025,2022WV05,manual_ui-10500025,manual_ui-20500025,manual_ui-30500025,Console_Icon,0,0
500026,2022WV06,manual_ui-10500026,manual_ui-20500026,manual_ui-30500026,Console_Icon,0,0
500027,2022WV07,manual_ui-10500027,manual_ui-20500027,manual_ui-30500027,Console_Icon,0,0
500028,2022WV08,manual_ui-10500028,manual_ui-20500028,manual_ui-30500028,Console_Icon,0,0
500029,2022WV09,manual_ui-10500029,manual_ui-20500029,manual_ui-30500029,Console_Icon,0,0
500030,2022WV01,manual_ui-10500030,manual_ui-20500030,manual_ui-30500030,Console_Icon,0,0
500031,2022WV10,manual_ui-10500031,manual_ui-20500031,manual_ui-30500031,Console_Icon,0,0
500032,2022WV02,manual_ui-10500032,manual_ui-20500032,manual_ui-30500032,Console_Icon,0,0
500033,2022WV03,manual_ui-10500033,manual_ui-20500033,manual_ui-30500033,Console_Icon,0,0
500034,2022WV04,manual_ui-10500034,manual_ui-20500034,manual_ui-30500034,Console_Icon,0,0
500035,2022WV05,manual_ui-10500035,manual_ui-20500035,manual_ui-30500035,Console_Icon,0,0
500036,2022WV06,manual_ui-10500036,manual_ui-20500036,manual_ui-30500036,Console_Icon,0,0
500037,2022WV07,manual_ui-10500037,manual_ui-20500037,manual_ui-30500037,Console_Icon,0,0
500038,2022WV08,manual_ui-10500038,manual_ui-20500038,manual_ui-30500038,Console_Icon,0,0
500039,2022WV09,manual_ui-10500039,manual_ui-20500039,manual_ui-30500039,Console_Icon,0,0
500091,2022WV00,manual_ui-10500091,manual_ui-20500091,manual_ui-30500091,Console_Icon,0,0
500092,2022WV00,manual_ui-10500092,manual_ui-20500092,manual_ui-30500092,Console_Icon,0,0
500093,2022WV00,manual_ui-10500093,manual_ui-20500093,manual_ui-30500093,Console_Icon,0,0
500094,2022WV00,manual_ui-10500094,manual_ui-20500094,manual_ui-30500094,Console_Icon,0,0
500099,2022WV00,manual_ui-10500099,manual_ui-20500099,manual_ui-30500099,Console_Icon,0,0
500401,2022WV21,manual_ui-10500401,manual_ui-20500401,manual_ui-30500401,Console_Icon,0,0
500402,2022WV22,manual_ui-10500402,manual_ui-20500402,manual_ui-30500402,Console_Icon,0,0
500403,2022WV23,manual_ui-10500403,manual_ui-20500403,manual_ui-30500403,Console_Icon,0,0
500404,2022WV24,manual_ui-10500404,manual_ui-20500404,manual_ui-30500404,Console_Icon,0,0
500405,2022WV25,manual_ui-10500405,manual_ui-20500405,manual_ui-30500405,Console_Icon,0,0
500406,2022WV11,manual_ui-10500406,manual_ui-20500406,manual_ui-30500406,Console_Icon,0,0
500407,2022WV12,manual_ui-10500407,manual_ui-20500407,manual_ui-30500407,Console_Icon,0,0
500410,2022WV25,manual_ui-10500410,manual_ui-20500410,manual_ui-30500410,Console_Icon,0,0
500411,2022WVLewis,manual_ui-10500411,manual_ui-20500411,manual_ui-30500411,Console_Icon,0,0
500412,2022WVFalcon,manual_ui-10500412,manual_ui-20500412,manual_ui-30500412,Console_Icon,0,0
500413,2022WV79type,manual_ui-10500413,manual_ui-20500413,manual_ui-30500413,Console_Icon,0,0
500414,2022WV97type,manual_ui-10500414,manual_ui-20500414,manual_ui-30500414,Console_Icon,0,0
500415,2022WVHunter,manual_ui-10500415,manual_ui-20500415,manual_ui-30500415,Console_Icon,0,0
500416,2022WVLWMMG,manual_ui-10500416,manual_ui-20500416,manual_ui-30500416,Console_Icon,0,0
500417,2022WVK5,manual_ui-10500417,manual_ui-20500417,manual_ui-30500417,Console_Icon,0,0
500418,2022WVM1,manual_ui-10500418,manual_ui-20500418,manual_ui-30500418,Console_Icon,0,0
500419,2022WVP22,manual_ui-10500419,manual_ui-20500419,manual_ui-30500419,Console_Icon,0,0
500420,2022WVT77,manual_ui-10500420,manual_ui-20500420,manual_ui-30500420,Console_Icon,0,0
500461,LiftBlue,manual_ui-10500461,manual_ui-20500461,manual_ui-30500461,Console_Icon,0,0
500491,2022WV11,manual_ui-10500491,manual_ui-20500491,manual_ui-30500491,Console_Icon,2,0
500496,2022WV12,manual_ui-10500496,manual_ui-20500496,manual_ui-30500496,Console_Icon,2,0
510303,MissileLauncher,manual_ui-10510303,manual_ui-20510303,manual_ui-30510303,Console_Icon,0,0
510313,MissileLauncher,manual_ui-10510313,manual_ui-20510313,manual_ui-30510313,Console_Icon,2,0
510411,LiftBlue,manual_ui-10510411,manual_ui-20510411,manual_ui-30510411,Console_Icon,0,0
510701,Viscosity_Bomb,manual_ui-10510701,manual_ui-20510701,manual_ui-30510701,Console_Icon,0,0
510705,Console_P,manual_ui-10510705,manual_ui-20510705,manual_ui-30510705,Console_Icon,2,0
510712,Viscosity_Bomb,manual_ui-10510712,manual_ui-20510712,manual_ui-30510712,Console_Icon,2,0
510903,Console_P,manual_ui-10510903,manual_ui-20510903,manual_ui-30510903,Console_Icon,0,0
510911,Boomer,manual_ui-10510911,manual_ui-20510911,manual_ui-30510911,Console_Icon,2,0
510913,Console_P,manual_ui-10510913,manual_ui-20510913,manual_ui-30510913,Console_Icon,0,0
510921,MissileB2,manual_ui-10510921,manual_ui-20510921,manual_ui-30510921,Console_Icon,2,0
511001,Console_P,manual_ui-10511001,manual_ui-20511001,manual_ui-30511001,Console_Icon,0,0
