id,type,carnival_type_id,count,prize_id,title,content,function_control_id,goto_page_id
1,cumulative_login,1,1,10086,累计登录,累计登录1天,0,0
2,cumulative_login,1,2,10088,累计登录,累计登录2天,0,0
3,cumulative_login,1,3,10088,累计登录,累计登录3天,0,0
4,cumulative_login,1,5,10091,累计登录,累计登录5天,0,0
5,cumulative_login,1,8,10091,累计登录,累计登录8天,0,0
6,cumulative_login,1,10,10094,累计登录,累计登录10天,0,0
7,cumulative_login,1,12,10097,累计登录,累计登录12天,0,0
8,consume_furniture_coin,16,100,10088,限时采购,累计消耗采购币*100,0,0
9,consume_furniture_coin,16,200,10091,限时采购,累计消耗采购币*200,0,0
10,consume_furniture_coin,16,500,10098,限时采购,累计消耗采购币*500,0,0
11,consume_furniture_coin,16,1000,10099,限时采购,累计消耗采购币*1000,0,0
12,consume_iop_contract,3,20,10091,人形制造,累计消耗人形制造契约*20,0,0
13,consume_iop_contract,3,50,10094,人形制造,累计消耗人形制造契约*50,0,0
14,consume_iop_contract,3,100,10097,人形制造,累计消耗人形制造契约*100,0,0
15,develop_gun_rank4,8,1,10088,血统验证,累计造出4星人形*1,0,0
16,develop_gun_rank4,8,5,10091,血统验证,累计造出4星人形*5,0,0
17,develop_gun_rank5,9,1,10094,血统验证,累计造出5星人形*1,0,0
18,develop_gun_rank5,9,5,10097,血统验证,累计造出5星人形*5,0,0
19,upgrade,12,3,10088,技能升级,累计升级人形/妖精技能3次,0,0
20,upgrade,12,5,10091,技能升级,累计升级人形/妖精技能5次,0,0
21,upgrade,12,10,10094,技能升级,累计升级人形/妖精技能10次,0,0
22,consume_coin1,4,1000,10088,训练资料,消耗初级训练资料*1000,0,0
23,consume_coin2,5,500,10091,训练资料,消耗中级训练资料*500,0,0
24,consume_coin3,6,100,10094,训练资料,消耗高级训练资料*100,0,0
25,operation_duration,14,100,10088,后勤支援,后勤支援累计完成100小时,0,0
26,operation_duration,14,200,10091,后勤支援,后勤支援累计完成200小时,0,0
27,operation_big_success,67,3,10086,后勤大成功,累计后勤大成功3次,0,0
28,operation_big_success,67,5,10091,后勤大成功,累计后勤大成功5次,0,0
29,operation_big_success,67,10,10094,后勤大成功,累计后勤大成功10次,0,0
30,mission_win,11,10,10088,战役关卡,战役胜利情况下挑战任意战役关卡10次（自律除外）,0,0
31,mission_win,11,20,10091,战役关卡,战役胜利情况下挑战任意战役关卡20次（自律除外）,0,0
32,mission_win,11,50,10094,战役关卡,战役胜利情况下挑战任意战役关卡50次（自律除外）,0,0
33,mission_win,11,100,10097,战役关卡,战役胜利情况下挑战任意战役关卡100次（自律除外）,0,0
34,collect_gun,15,10,10088,救援人形,在任意关卡或战斗中累计救援任意人形10个（自律除外）,0,0
35,collect_gun,15,30,10091,救援人形,在任意关卡或战斗中累计救援任意人形30个（自律除外）,0,0
36,collect_gun,15,50,10094,救援人形,在任意关卡或战斗中累计救援任意人形50个（自律除外）,0,0
37,collect_gun,15,100,10097,救援人形,在任意关卡或战斗中累计救援任意人形100个（自律除外）,0,0
38,consume_core,42,10,10088,核心消耗,核心消耗*10,0,0
39,consume_core,42,30,10091,核心消耗,核心消耗*30,0,0
40,consume_core,42,50,10094,核心消耗,核心消耗*50,0,0
41,consume_core,42,100,10097,核心消耗,核心消耗*100,0,0
42,get_build_coin,10,100,10091,收集电池,累计获得电池*100,0,0
43,get_build_coin,10,300,10094,收集电池,累计获得电池*300,0,0
44,get_build_coin,10,500,10097,收集电池,累计获得电池*500,0,0
45,consume_voucher,19,30,10086,校准点券,累计消耗校准点券*30,0,0
46,consume_voucher,19,50,10091,校准点券,累计消耗校准点券*50,0,0
47,consume_voucher,19,100,10094,校准点券,累计消耗校准点券*100,0,0
48,consume_voucher,19,200,10097,校准点券,累计消耗校准点券*200,0,0
49,consume_bp,18,10,10086,动能消耗（包含超导动能）,累计消耗动能*10,0,0
50,consume_bp,18,30,10091,动能消耗（包含超导动能）,累计消耗动能*30,0,0
51,consume_bp,18,50,10094,动能消耗（包含超导动能）,累计消耗动能*50,0,0
52,consume_sangvis_material1_coin,130,10,10086,势能消耗（包括超导势能）,累计消耗势能10个,0,0
53,consume_sangvis_material1_coin,130,30,10091,势能消耗（包括超导势能）,累计消耗势能30个,0,0
54,consume_sangvis_material1_coin,130,50,10094,势能消耗（包括超导势能）,累计消耗势能50个,0,0
55,consume_capsule,47,10,10088,增幅胶囊,累计消耗增幅胶囊*10,0,0
56,consume_capsule,47,30,10094,增幅胶囊,累计消耗增幅胶囊*30,0,0
57,consume_capsule,47,50,10097,增幅胶囊,累计消耗增幅胶囊*50,0,0
58,consume_ammo,21,10000,10088,弹药消耗,累计消耗弹药*10000,0,0
59,consume_ammo,21,20000,10091,弹药消耗,累计消耗弹药*20000,0,0
60,consume_ammo,21,30000,10094,弹药消耗,累计消耗弹药*30000,0,0
61,consume_mre,39,10000,10088,口粮消耗,累计消耗口粮*10000,0,0
62,consume_mre,39,20000,10091,口粮消耗,累计消耗口粮*20000,0,0
63,consume_mre,39,30000,10094,口粮消耗,累计消耗口粮*30000,0,0
64,upvote,20,10,10088,点赞使者,活动期间累计点赞10次,0,0
65,upvote,20,30,10091,点赞使者,活动期间累计点赞30次,0,0
66,upvote,20,50,10094,点赞使者,活动期间累计点赞50次,0,0
