id,type,carnival_type_id,count,prize_id,title,content,function_control_id,goto_page_id
1,cumulative_login,1,1,10086,累计登录,累计登录1天,0,0
2,cumulative_login,1,2,10088,累计登录,累计登录2天,0,0
3,cumulative_login,1,3,10088,累计登录,累计登录3天,0,0
4,cumulative_login,1,5,10091,累计登录,累计登录5天,0,0
5,cumulative_login,1,8,10091,累计登录,累计登录8天,0,0
6,cumulative_login,1,10,10094,累计登录,累计登录10天,0,0
7,cumulative_login,1,12,10097,累计登录,累计登录12天,0,0
8,consume_furniture_coin,16,100,10088,限时采购,累计消耗采购币*100,0,0
9,consume_furniture_coin,16,200,10091,限时采购,累计消耗采购币*200,0,0
10,consume_furniture_coin,16,500,10098,限时采购,累计消耗采购币*500,0,0
11,consume_furniture_coin,16,1000,10099,限时采购,累计消耗采购币*1000,0,0
12,s_win,25,10,10088,S胜挑战,以S评价完成10场战斗,0,0
13,s_win,25,30,10091,S胜挑战,以S评价完成30场战斗,0,0
14,s_win,25,50,10094,S胜挑战,以S评价完成50场战斗,0,0
15,s_win,25,100,10097,S胜挑战,以S评价完成100场战斗,0,0
16,mission_win,11,10,10088,战役关卡,战役胜利情况下挑战任意战役关卡10次（自律除外）,0,0
17,mission_win,11,20,10091,战役关卡,战役胜利情况下挑战任意战役关卡20次（自律除外）,0,0
18,mission_win,11,50,10094,战役关卡,战役胜利情况下挑战任意战役关卡50次（自律除外）,0,0
19,mission_win,11,100,10097,战役关卡,战役胜利情况下挑战任意战役关卡100次（自律除外）,0,0
20,collect_gun,15,10,10088,救援人形,在任意关卡或战斗中累计救援任意人形10个（自律除外）,0,0
21,collect_gun,15,30,10091,救援人形,在任意关卡或战斗中累计救援任意人形30个（自律除外）,0,0
22,collect_gun,15,50,10094,救援人形,在任意关卡或战斗中累计救援任意人形50个（自律除外）,0,0
23,collect_gun,15,100,10097,救援人形,在任意关卡或战斗中累计救援任意人形100个（自律除外）,0,0
24,get_build_coin,10,100,10091,收集电池,累计获得电池*100,0,0
25,get_build_coin,10,300,10094,收集电池,累计获得电池*300,0,0
26,get_build_coin,10,500,10097,收集电池,累计获得电池*500,0,0
27,operation_duration,14,100,10088,后勤支援,后勤支援累计完成100小时,0,0
28,operation_duration,14,200,10091,后勤支援,后勤支援累计完成200小时,0,0
29,operation_duration,14,400,10094,后勤支援,后勤支援累计完成400小时,0,0
30,operation_big_success,67,3,10086,后勤大成功,累计后勤大成功3次,0,0
31,operation_big_success,67,5,10091,后勤大成功,累计后勤大成功5次,0,0
32,operation_big_success,67,10,10094,后勤大成功,累计后勤大成功10次,0,0
33,develop_equip,35,10,10088,装备制造次数,装备制造10次,0,0
34,develop_equip,35,20,10091,装备制造次数,装备制造20次,0,0
35,develop_equip,35,30,10094,装备制造次数,装备制造30次,0,0
36,develop_equip,35,50,10097,装备制造次数,装备制造50次,0,0
37,consume_fight_report,7,30,10091,作战报告书,消耗作战报告书*30,0,0
38,consume_fight_report,7,50,10094,作战报告书,消耗作战报告书*50,0,0
39,consume_fight_report,7,100,10097,作战报告书,消耗作战报告书*100,0,0
40,consume_mp,38,10000,10088,人力消耗,累计消耗人力*10000,0,0
41,consume_mp,38,20000,10091,人力消耗,累计消耗人力*20000,0,0
42,consume_mp,38,30000,10094,人力消耗,累计消耗人力*30000,0,0
43,consume_ammo,21,10000,10088,弹药消耗,累计消耗弹药*10000,0,0
44,consume_ammo,21,20000,10091,弹药消耗,累计消耗弹药*20000,0,0
45,consume_ammo,21,30000,10094,弹药消耗,累计消耗弹药*30000,0,0
46,consume_voucher,19,30,10086,校准点券,累计消耗校准点券*30,0,0
47,consume_voucher,19,50,10091,校准点券,累计消耗校准点券*50,0,0
48,consume_voucher,19,100,10094,校准点券,累计消耗校准点券*100,0,0
49,consume_voucher,19,200,10097,校准点券,累计消耗校准点券*200,0,0
50,consume_bp,18,10,10086,动能消耗（包含超导动能）,累计消耗动能*10,0,0
51,consume_bp,18,30,10091,动能消耗（包含超导动能）,累计消耗动能*30,0,0
52,consume_bp,18,50,10094,动能消耗（包含超导动能）,累计消耗动能*50,0,0
53,consume_sangvis_material1_coin,130,10,10086,势能消耗（包括超导势能）,累计消耗势能10个,0,0
54,consume_sangvis_material1_coin,130,30,10091,势能消耗（包括超导势能）,累计消耗势能30个,0,0
55,consume_sangvis_material1_coin,130,50,10094,势能消耗（包括超导势能）,累计消耗势能50个,0,0
56,consume_core,42,10,10088,核心消耗,核心消耗*10,0,0
57,consume_core,42,30,10091,核心消耗,核心消耗*30,0,0
58,consume_core,42,50,10094,核心消耗,核心消耗*50,0,0
59,consume_core,42,100,10097,核心消耗,核心消耗*100,0,0
60,consume_capsule,47,10,10088,增幅胶囊,累计消耗增幅胶囊*10,0,0
61,consume_capsule,47,30,10094,增幅胶囊,累计消耗增幅胶囊*30,0,0
62,consume_capsule,47,50,10097,增幅胶囊,累计消耗增幅胶囊*50,0,0
63,upvote,20,10,10088,点赞使者,活动期间累计点赞10次,0,0
64,upvote,20,30,10091,点赞使者,活动期间累计点赞30次,0,0
