id,name,des,power,recommend_power,enemy_team_id,log_fitter_id,log_fitter_name,code
101,mission_targettrain_enemy-10000101,mission_targettrain_enemy-20000101,3000,3000,950046,0,mission_targettrain_enemy-30000101,Targettrain_SingleTarget
102,mission_targettrain_enemy-10000102,mission_targettrain_enemy-20000102,3000,3000,950047,0,mission_targettrain_enemy-30000102,Targettrain_SingleTarget
103,mission_targettrain_enemy-10000103,mission_targettrain_enemy-20000103,3000,3000,950048,0,mission_targettrain_enemy-30000103,Targettrain_SingleTarget
104,mission_targettrain_enemy-10000104,mission_targettrain_enemy-20000104,3000,3000,950049,0,mission_targettrain_enemy-30000104,Targettrain_SingleTarget
105,mission_targettrain_enemy-10000105,mission_targettrain_enemy-20000105,3000,3000,950050,0,mission_targettrain_enemy-30000105,Targettrain_SingleTarget
301,mission_targettrain_enemy-10000301,mission_targettrain_enemy-20000301,126250,126250,2371,0,mission_targettrain_enemy-30000301,Targettrain_SingleTarget
401,mission_targettrain_enemy-10000401,mission_targettrain_enemy-20000401,143733,143733,9130301,0,mission_targettrain_enemy-30000401,Targettrain_SingleTarget
501,mission_targettrain_enemy-10000501,mission_targettrain_enemy-20000501,154709,154709,337257,0,mission_targettrain_enemy-30000501,Targettrain_SingleTarget
601,mission_targettrain_enemy-10000601,mission_targettrain_enemy-20000601,169976,169976,317907,0,mission_targettrain_enemy-30000601,Targettrain_SingleTarget
701,mission_targettrain_enemy-10000701,mission_targettrain_enemy-20000701,175920,175920,1770,0,mission_targettrain_enemy-30000701,Targettrain_SingleTarget
801,mission_targettrain_enemy-10000801,mission_targettrain_enemy-20000801,73800,73800,9411205,0,mission_targettrain_enemy-30000801,Targettrain_SingleTarget
901,mission_targettrain_enemy-10000901,mission_targettrain_enemy-20000901,91475,91475,9410318,0,mission_targettrain_enemy-30000901,Targettrain_SingleTarget
1001,mission_targettrain_enemy-10001001,mission_targettrain_enemy-20001001,100248,100248,9411206,0,mission_targettrain_enemy-30001001,Targettrain_SingleTarget
1101,mission_targettrain_enemy-10001101,mission_targettrain_enemy-20001101,80829,80829,9411407,0,mission_targettrain_enemy-30001101,Targettrain_SingleTarget
1201,mission_targettrain_enemy-10001201,mission_targettrain_enemy-20001201,248736,248736,9411408,0,mission_targettrain_enemy-30001201,Targettrain_SingleTarget
1301,mission_targettrain_enemy-10001301,mission_targettrain_enemy-20001301,407438,407438,9411422,0,mission_targettrain_enemy-30001301,Targettrain_SingleTarget
1601,mission_targettrain_enemy-10001601,mission_targettrain_enemy-20001601,40866,40866,336405,0,mission_targettrain_enemy-30001601,Targettrain_SingleTarget
1701,mission_targettrain_enemy-10001701,mission_targettrain_enemy-20001701,70480,70480,390149,0,mission_targettrain_enemy-30001701,Targettrain_SingleTarget
1801,mission_targettrain_enemy-10001801,mission_targettrain_enemy-20001801,88645,88645,9411418,0,mission_targettrain_enemy-30001801,Targettrain_SingleTarget
1901,mission_targettrain_enemy-10001901,mission_targettrain_enemy-20001901,55346,55346,9130113,0,mission_targettrain_enemy-30001901,Targettrain_SingleTarget
2001,mission_targettrain_enemy-10002001,mission_targettrain_enemy-20002001,169976,169976,317907,0,mission_targettrain_enemy-30002001,Targettrain_SingleTarget
2101,mission_targettrain_enemy-10002101,mission_targettrain_enemy-20002101,172301,172301,317993,0,mission_targettrain_enemy-30002101,Targettrain_SingleTarget
2201,mission_targettrain_enemy-10002201,mission_targettrain_enemy-20002201,244970,244970,317994,0,mission_targettrain_enemy-30002201,Targettrain_SingleTarget
2404,mission_targettrain_enemy-10002404,mission_targettrain_enemy-20002404,77122,77122,334701,0,mission_targettrain_enemy-30002404,Targettrain_SingleTarget
2405,mission_targettrain_enemy-10002405,mission_targettrain_enemy-20002405,73455,73455,336807,0,mission_targettrain_enemy-30002405,Targettrain_SingleTarget
2406,mission_targettrain_enemy-10002406,mission_targettrain_enemy-20002406,251937,251937,336901,0,mission_targettrain_enemy-30002406,Targettrain_SingleTarget
2407,mission_targettrain_enemy-10002407,mission_targettrain_enemy-20002407,272650,272650,461008,0,mission_targettrain_enemy-30002407,Targettrain_SingleTarget
2408,mission_targettrain_enemy-10002408,mission_targettrain_enemy-20002408,219183,219183,363099,0,mission_targettrain_enemy-30002408,Targettrain_SingleTarget
2409,mission_targettrain_enemy-10002409,mission_targettrain_enemy-20002409,149503,149503,362921,0,mission_targettrain_enemy-30002409,Targettrain_SingleTarget
2410,mission_targettrain_enemy-10002410,mission_targettrain_enemy-20002410,34544,34544,362801,0,mission_targettrain_enemy-30002410,Targettrain_SingleTarget
20101,mission_targettrain_enemy-10020101,mission_targettrain_enemy-20020101,3000,3000,950001,201,mission_targettrain_enemy-30020101,Targettrain_950001
20102,mission_targettrain_enemy-10020102,mission_targettrain_enemy-20020102,3000,3000,950006,202,mission_targettrain_enemy-30020102,Targettrain_950006
20103,mission_targettrain_enemy-10020103,mission_targettrain_enemy-20020103,3000,3000,950011,203,mission_targettrain_enemy-30020103,Targettrain_950011
20104,mission_targettrain_enemy-10020104,mission_targettrain_enemy-20020104,3000,3000,950016,204,mission_targettrain_enemy-30020104,Targettrain_950016
20105,mission_targettrain_enemy-10020105,mission_targettrain_enemy-20020105,3000,3000,950021,205,mission_targettrain_enemy-30020105,Targettrain_950021
20106,mission_targettrain_enemy-10020106,mission_targettrain_enemy-20020106,3000,3000,950026,206,mission_targettrain_enemy-30020106,Targettrain_950026
20107,mission_targettrain_enemy-10020107,mission_targettrain_enemy-20020107,3000,3000,950031,207,mission_targettrain_enemy-30020107,Targettrain_950031
20108,mission_targettrain_enemy-10020108,mission_targettrain_enemy-20020108,3000,3000,950036,208,mission_targettrain_enemy-30020108,Targettrain_950036
