id,description,damage_ratio,extra_damage,buff_id,harm_delay,target_move,is_critical_hit,critical_hit_rate,float_wide,trigger_creation_id,trigger_creation_delay,is_form_hurt,is_miss,is_armor,beat_back_percent,buff_id_target,buff_id_self,hurt_buff_trigger_type,buff_rate,target_move_percent,target_skill,trigger_summoner,defbreak_rate,extra_defbreak,hit_type,is_ricochet,is_shield,fix_damage,ui_control
1,普通攻击,100,0,0,0,0,1,100,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,榴弹,*201,0,0,0,0,0,100,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,狙击,*201,0,0,0,0,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,燃烧初始伤害,*201,0,0,0,0,0,100,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,燃烧持续伤害,*202,0,0,0,0,0,100,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,突击者之眼,100,0,0,0,0,0,100,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,霰弹枪普通攻击,100,0,0,0,2,1,100,15,0,0,0,1,1,5,0,0,0,0,100,500101,0,0,0,1,0,0,0,0
8,连珠终结,*201,0,0,0,0,0,100,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,震荡打击,*201,0,0,0,*101,1,100,15,0,0,0,0,0,99,0,0,0,0,100,500104,0,0,0,1,0,0,0,0
10,终结打击,0,*102,0,0,*101,0,100,0,0,0,0,0,0,99,0,0,0,0,100,500104,0,0,0,1,0,0,0,0
11,独头弹攻击,300,0,0,0,2,1,100,15,0,0,0,1,1,5,1000003642:1,0,0,100,100,500101,0,0,0,1,0,0,0,0
12,巨羚号角1,*201,0,0,0,2,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,巨羚号角2,*202,0,0,0,2,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,巨羚号角3,*203,0,0,0,2,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,暴动宣告普攻,100,0,0,0,0,1,100,15,0,0,0,1,1,0,0,307:1,0,*201,0,0,0,0,0,1,0,0,0,0
16,暴动宣告,150,0,0,0,0,1,100,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,NER爆破,*201,0,0,0,1,1,100,15,0,0,1,0,0,0,224,0,0,100,0,0,0,0,0,1,0,0,0,0
18,NER扫射,*201,0,0,0,0,1,100,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,ELF准星,*201,0,0,0,0,1,100,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,ELF导弹途径,*202,0,0,0,0,1,100,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,ELF导弹爆炸,*202,0,0,0,0,1,100,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,爆破榴弹内圈,*201,0,0,0,0,0,100,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,爆破榴弹中圈,*202,0,0,0,0,0,100,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,爆破榴弹外圈,*203,0,0,0,0,0,100,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,贯通射击穿刺,*201,0,0,0,0,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26,贯通射击追伤,*202,0,0,0,0,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,NER减速场,0,0,0,0,0,0,100,15,0,0,1,0,0,0,224:1,0,0,100,0,0,0,0,0,1,0,0,0,0
28,磁场牵引,0,0,0,0,0,0,100,15,0,0,0,0,0,100,0,0,0,0,100,500102,0,0,0,1,0,0,0,0
29,磁场伤害,*201,0,0,0,0,0,100,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30,自毁,999999,999999,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,磁场排斥,0,0,0,0,0,0,100,15,0,0,0,0,0,100,0,0,0,0,100,500103,0,0,0,1,0,0,0,0
32,琪亚娜,150,0,0,0,0,0,100,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,雷电芽衣,*201,0,0,0,0,0,100,15,0,0,0,0,0,0,135:1,1008:1,0,100,0,0,0,0,0,1,0,0,0,0
34,德莉莎,*201,0,0,0,0,1,150,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35,无量塔姬子,*201,0,0,0,0,1,100,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,狂热模式子弹,*201,0,0,0,0,1,100,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,标记模式子弹,100,0,0,0,0,1,100,15,0,0,0,1,1,0,0,363:1,0,*201,0,0,0,0,0,1,0,0,0,0
38,标记模式子弹,0,0,0,0,0,1,100,15,0,0,0,0,0,0,364:1,0,0,100,0,0,0,0,0,1,0,0,0,0
39,迅雷Buff表现,0,0,0,0,0,1,100,15,0,0,0,0,0,0,137:1,0,0,100,0,0,0,0,0,1,0,0,0,0
40,量子回溯暴击,*201,0,0,0,2,1,100,15,0,0,0,1,1,5,0,0,0,0,100,500101,0,0,0,1,0,0,0,0
41,迅雷BUFF判定,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136:1,0,0,*201,0,0,0,0,0,1,0,0,0,0
42,迅雷BUFF内置CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441:1,0,0,*201,0,0,0,0,0,1,0,0,0,0
43,雷电芽衣受击特效触发,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443:1,0,0,100,0,0,0,0,0,1,0,0,0,0
44,Neptune普攻概率判定,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,237:1,0,40,0,0,0,0,0,1,0,0,0,0
45,Noire被动暴击判定,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,242:1,1,100,0,0,0,0,0,1,0,0,0,0
46,Noire被动概率判定,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,244:1,0,*201,0,0,0,0,0,1,0,0,0,0
47,Thunder50狙击,*201,0,0,0,0,0,100,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48,人偶扳机激活,*201,0,0,0,0,1,100,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49,人偶扳机检定新,0,0,0,0,0,1,100,15,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1,0,0,0,0
50,人偶扳机检定旧,0,0,0,0,0,1,100,15,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1,0,0,0,0
51,霍克艾激活普攻,100,0,0,0,0,1,100,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52,M4面杀伤,*201,0,0,0,0,1,100,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,M4点杀伤,*202,0,0,0,0,0,100,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
54,护盾判定,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,196:1,0,*202,0,0,0,0,0,1,0,0,0,0
56,护盾判定,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,197:1,0,*202,0,0,0,0,0,1,0,0,0,0
57,莫辛纳甘击杀判定,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,"742:1,1008:1",0,*202,0,0,0,0,0,1,0,0,0,0
58,莫辛纳甘击杀判定2,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,"743:1,1000:1",0,*202,0,0,0,0,0,1,0,0,0,0
60,M1918战地魔术,*201,0,0,0,0,1,100,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
301,稻草人扫射,10,0,0,0,0,1,100,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
