id,name,description,code,type,duration_type,duration_time,limit_buff,exp_buff,is_resource_buff,vision_buff,cannot_move,battle_skill_config_id,property_type,property_data_pool,special_spot_config_id,conditions_type,conditions_time,birth_effect,effect_process_star,effect_process_end,effect_process_duration,manual_ui_code,ammo_mre_reduce,free_ap_move,extra_ammo_mre,conflict_type,priority,carry_mission_skill,sangvis_chip_id
1,mission_buff_config-10000001,mission_buff_config-20000001,buff,1,1,3,0,1,3,0,,0,0,0,0,0,0,0,0,0,0,,,0,,1,0,,
2,mission_buff_config-10000002,mission_buff_config-20000002,buff,1,1,3,0,1,0,0,,100502,0,0,0,0,0,0,0,0,0,,,0,,2,0,,
3,mission_buff_config-10000003,mission_buff_config-20000003,buff,1,1,3,0,1,0,0,,100502,0,0,0,0,0,0,0,0,0,,,0,,3,0,,
5,mission_buff_config-10000005,mission_buff_config-20000005,buff,1,1,1,0,1,0,0,,900106,0,0,0,0,0,0,0,0,0,,,0,,5,0,,
6,mission_buff_config-10000006,mission_buff_config-20000006,buff,1,1,1,0,1,0,0,,900113,0,0,0,0,0,0,0,0,0,,,0,,6,0,,
8,mission_buff_config-10000008,mission_buff_config-20000008,buff,1,1,1,0,1,0,0,,900116,0,0,0,0,0,0,0,0,0,,,0,,8,0,,
13,mission_buff_config-10000013,mission_buff_config-20000013,buff,1,2,1,0,*0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,13,0,,
14,mission_buff_config-10000014,mission_buff_config-20000014,buff,1,2,1,*0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,14,0,,
15,mission_buff_config-10000015,mission_buff_config-20000015,buff,1,1,2,0,1,0,*0,,900114,0,0,0,0,0,0,0,0,0,,,0,,15,0,,
1004,mission_buff_config-10001004,mission_buff_config-20001004,buff,1,4,1,0,1,0,0,,900154,0,0,0,0,0,0,0,0,0,,,0,,1004,0,,
1301,mission_buff_config-10001301,mission_buff_config-20001301,buff,1,2,1,0,1.05,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,1301,0,,
1302,mission_buff_config-10001302,mission_buff_config-20001302,buff,1,2,1,0,1.08,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,1302,0,,
1303,mission_buff_config-10001303,mission_buff_config-20001303,buff,1,2,1,0,1.1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,1303,0,,
1304,mission_buff_config-10001304,mission_buff_config-20001304,buff,1,2,1,0,1.12,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,1304,0,,
