id,name,type,rank,favor,fit_gun,skin,poster,code,bonus_description,description,is_hidden,exp,profile_pic,item_access,detail_introduction,sort
1,gift_item-10000001,2,6,50000,8,1,30001,gift_bundle_halloween_PM,gift_item-20000001,gift_item-30000001,0,0,0,,gift_item-40000001,0
2,gift_item-10000002,2,6,50000,20,2,30002,gift_bundle_halloween_VECTOR,gift_item-20000002,gift_item-30000002,0,0,0,,gift_item-40000002,0
3,gift_item-10000003,2,6,50000,26,3,30003,gift_bundle_halloween_MP5,gift_item-20000003,gift_item-30000003,0,0,0,,gift_item-40000003,0
4,gift_item-10000004,2,6,50000,33,4,30004,gift_bundle_halloween_M45,gift_item-20000004,gift_item-30000004,0,0,0,,gift_item-40000004,0
5,gift_item-10000005,2,6,50000,36,5,30005,gift_bundle_halloween_M1903,gift_item-20000005,gift_item-30000005,0,0,0,,gift_item-40000005,0
6,gift_item-10000006,2,6,50000,48,6,30006,gift_bundle_halloween_WA2000,gift_item-20000006,gift_item-30000006,0,0,0,,gift_item-40000006,0
7,gift_item-10000007,2,6,50000,80,7,30007,gift_bundle_halloween_M1919A4,gift_item-20000007,gift_item-30000007,0,0,0,,gift_item-40000007,0
8,gift_item-10000008,2,6,50000,99,8,30008,gift_bundle_halloween_MK23,gift_item-20000008,gift_item-30000008,0,0,0,,gift_item-40000008,0
9,gift_item-10000009,2,6,50000,122,9,30009,gift_bundle_halloween_G11,gift_item-20000009,gift_item-30000009,0,0,0,,gift_item-40000009,0
10,gift_item-10000010,2,6,50000,50,10,30010,gift_bundle_nichijou_MLEMK1,gift_item-20000010,gift_item-30000010,0,0,0,,gift_item-40000010,0
11,gift_item-10000011,2,6,50000,94,11,30011,gift_bundle_halloween_64type,gift_item-20000011,gift_item-30000011,0,0,0,,gift_item-40000011,0
101,gift_item-10000101,2,6,50000,32,101,30101,gift_bundle_nichijou_Microuzi,gift_item-20000101,gift_item-30000101,0,0,0,,gift_item-40000101,0
102,gift_item-10000102,2,6,50000,75,102,30102,gift_bundle_nichijou_M1918,gift_item-20000102,gift_item-30000102,0,0,0,,gift_item-40000102,0
103,gift_item-10000103,2,6,50000,91,103,30103,gift_bundle_nichijou_MP466,gift_item-20000103,gift_item-30000103,0,0,0,,gift_item-40000103,0
104,gift_item-10000104,2,6,50000,94,104,30104,gift_bundle_nichijou_64type,gift_item-20000104,gift_item-30000104,0,0,0,,gift_item-40000104,0
105,gift_item-10000105,2,6,50000,96,105,30105,gift_bundle_nichijou_Grizzly,gift_item-20000105,gift_item-30000105,0,0,0,,gift_item-40000105,0
106,gift_item-10000106,2,6,50000,80,106,30106,gift_bundle_nichijou_M1919A4,gift_item-20000106,gift_item-30000106,0,0,0,,gift_item-40000106,0
301,gift_item-10000301,2,6,50000,1,301,30301,gift_bundle_xmas_M1873,gift_item-20000301,gift_item-30000301,0,0,0,,gift_item-40000301,0
302,gift_item-10000302,2,6,50000,36,302,30302,gift_bundle_xmas_M1903,gift_item-20000302,gift_item-30000302,0,0,0,,gift_item-40000302,0
303,gift_item-10000303,2,6,50000,37,303,30303,gift_bundle_xmas_M14,gift_item-20000303,gift_item-30000303,0,0,0,,gift_item-40000303,0
304,gift_item-10000304,2,6,50000,38,304,30304,gift_bundle_xmas_M21,gift_item-20000304,gift_item-30000304,0,0,0,,gift_item-40000304,0
305,gift_item-10000305,2,6,50000,43,305,30305,gift_bundle_xmas_SVD,gift_item-20000305,gift_item-30000305,0,0,0,,gift_item-40000305,0
306,gift_item-10000306,2,6,50000,48,306,30306,gift_bundle_xmas_WA2000,gift_item-20000306,gift_item-30000306,0,0,0,,gift_item-40000306,0
307,gift_item-10000307,2,6,50000,53,307,30307,gift_bundle_xmas_NTW20,gift_item-20000307,gift_item-30000307,0,0,0,,gift_item-40000307,0
308,gift_item-10000308,2,6,50000,106,308,30308,gift_bundle_xmas_FNFAL,gift_item-20000308,gift_item-30000308,0,0,0,,gift_item-40000308,0
309,gift_item-10000309,2,6,50000,109,309,30309,gift_bundle_xmas_MG5,gift_item-20000309,gift_item-30000309,0,0,0,,gift_item-40000309,0
310,gift_item-10000310,2,6,50000,115,310,30310,gift_bundle_xmas_KP31,gift_item-20000310,gift_item-30000310,0,0,0,,gift_item-40000310,0
401,gift_item-10000401,2,6,50000,66,401,30401,gift_bundle_spring_561type,gift_item-20000401,gift_item-30000401,0,0,0,,gift_item-40000401,0
402,gift_item-10000402,2,6,50000,91,402,30402,gift_bundle_spring_mp446,gift_item-20000402,gift_item-30000402,0,0,0,,gift_item-40000402,0
403,gift_item-10000403,2,6,50000,126,403,30403,gift_bundle_spring_nz75,gift_item-20000403,gift_item-30000403,0,0,0,,gift_item-40000403,0
404,gift_item-10000404,2,6,50000,128,404,30404,gift_bundle_spring_m99,gift_item-20000404,gift_item-30000404,0,0,0,,gift_item-40000404,0
405,gift_item-10000405,2,6,50000,129,405,30405,gift_bundle_spring_95type,gift_item-20000405,gift_item-30000405,0,0,0,,gift_item-40000405,0
406,gift_item-10000406,2,6,50000,130,406,30406,gift_bundle_spring_97type,gift_item-20000406,gift_item-30000406,0,0,0,,gift_item-40000406,0
407,gift_item-10000407,2,6,50000,132,407,30407,gift_bundle_spring_59type,gift_item-20000407,gift_item-30000407,0,0,0,,gift_item-40000407,0
408,gift_item-10000408,2,6,50000,42,408,30408,gift_bundle_spring_ptrd,gift_item-20000408,gift_item-30000408,0,0,0,,gift_item-40000408,0
409,gift_item-10000409,2,6,50000,101,409,30409,gift_bundle_spring_ump9,gift_item-20000409,gift_item-30000409,0,0,0,,gift_item-40000409,0
