id,type,sort,item_ids,gem,mp,ammo,mre,part,bp_pay,skin,gift,gemprice,original_price,pointprice,if_cheap,quota,giftbag_name,event_code,icon,daily_quota,tips,discount,sale_starttime,sale_endtime,label,prize_id,pay_type,itemprice,on_sale_days,price_up,classification_id,description
1,2,0,0,0,1500,0,0,0,0,0,,180,0,0,0,0,mall-10000001,0,,0,,1,0,0,0,0,0,0,0,0,5001,
2,2,1,0,0,4500,0,0,0,0,0,,480,0,0,0,0,mall-10000002,0,,0,,1,0,0,0,0,0,0,0,0,5001,
3,2,2,0,0,0,0,1500,0,0,0,,180,0,0,0,0,mall-10000003,0,,0,,1,0,0,0,0,0,0,0,0,5001,
4,2,3,0,0,0,0,4500,0,0,0,,480,0,0,0,0,mall-10000004,0,,0,,1,0,0,0,0,0,0,0,0,5001,
5,2,4,0,0,0,1500,0,0,0,0,,180,0,0,0,0,mall-10000005,0,,0,,1,0,0,0,0,0,0,0,0,5001,
6,2,5,0,0,0,4500,0,0,0,0,,480,0,0,0,0,mall-10000006,0,,0,,1,0,0,0,0,0,0,0,0,5001,
7,2,6,0,0,0,0,0,500,0,0,,180,0,0,0,0,mall-10000007,0,,0,,1,0,0,0,0,0,0,0,0,5001,
8,2,7,0,0,0,0,0,1500,0,0,,480,0,0,0,0,mall-10000008,0,,0,,1,0,0,0,0,0,0,0,0,5001,
9,1,1,1-1,0,0,0,0,0,0,0,,30,0,0,0,1,mall-10000009,0,,0,,1,0,0,0,0,0,0,0,0,5002,
10,1,3,1-1,0,0,0,0,0,0,0,,60,0,0,0,0,mall-10000010,0,,0,,1,0,0,0,0,0,0,0,0,5002,
11,1,4,1-10,0,0,0,0,0,0,0,,480,0,0,1,0,mall-10000011,0,,0,,1,0,0,0,0,0,0,0,0,5002,
12,1,5,3-1,0,0,0,0,0,0,0,,50,0,0,0,0,mall-10000012,0,,0,,1,0,0,0,0,0,0,0,0,5002,
13,1,6,3-10,0,0,0,0,0,0,0,,380,0,0,1,0,mall-10000013,0,,0,,1,0,0,0,0,0,0,0,0,5002,
14,1,7,4-1,0,0,0,0,0,0,0,,50,0,0,0,0,mall-10000014,0,,0,,1,0,0,0,0,0,0,0,0,5002,
15,1,8,4-10,0,0,0,0,0,0,0,,380,0,0,1,0,mall-10000015,0,,0,,1,0,0,0,0,0,0,0,0,5002,
16,1,9,8-1,0,0,0,0,0,0,0,,250,0,0,0,0,mall-10000016,0,,0,,1,0,0,0,0,0,0,0,0,5002,
17,1,10,8-5,0,0,0,0,0,0,0,,980,0,0,1,0,mall-10000017,0,,0,,1,0,0,0,0,0,0,0,0,5002,
18,1,2,2-1,0,0,0,0,0,0,0,,15,0,0,0,1,mall-10000018,0,,0,,1,0,0,0,0,0,0,0,0,5002,
19,1,11,2-1,0,0,0,0,0,0,0,,30,0,0,0,0,mall-10000019,0,,0,,1,0,0,0,0,0,0,0,0,5002,
20,1,12,2-10,0,0,0,0,0,0,0,,240,0,0,1,0,mall-10000020,0,,0,,1,0,0,0,0,0,0,0,0,5002,
22,1,0,7-1,0,0,0,0,0,0,0,,580,0,0,0,0,mall-10000022,0,,0,,1,0,0,0,0,0,0,0,0,5004,
23,3,2,,0,0,0,0,0,3,0,,20,0,0,0,0,mall-10000023,0,,0,,1,0,0,0,0,0,0,0,0,5004,
24,1,0,41-10,0,0,0,0,0,0,0,,80,0,0,0,0,mall-10000024,0,,0,,1,0,0,1,0,0,0,0,0,5004,
25,1,1,41-100,0,0,0,0,0,0,0,,600,0,0,0,0,mall-10000025,0,,0,,1,0,0,1,0,0,0,0,0,5004,
26,1,13,16-1,0,0,0,0,0,0,0,,50,0,0,0,0,mall-10000026,0,,0,,1,0,0,0,0,0,0,0,0,5002,
27,1,14,16-10,0,0,0,0,0,0,0,,380,0,0,1,0,mall-10000027,0,,0,,1,0,0,0,0,0,0,0,0,5002,
28,1,3,601-1,0,0,0,0,0,0,0,,98,0,0,0,0,mall-10000028,0,,0,,1,0,0,1,0,0,0,0,0,5004,
29,1,3,601-10,0,0,0,0,0,0,0,,980,0,0,0,0,mall-10000029,0,,0,,1,0,0,1,0,0,0,0,0,5004,
30,1,3,10603-3,0,0,0,0,0,0,0,,20,0,0,0,2001,mall-10000030,dailyGiftbag,,10,,1,0,0,1,0,0,0,0,10000,5004,
31,1,3,605-1,0,0,0,0,0,0,0,,160,0,0,0,0,mall-10000031,0,,0,,1,0,0,1,0,0,0,0,0,5004,
32,1,3,605-10,0,0,0,0,0,0,0,,1600,0,0,0,0,mall-10000032,0,,0,,1,0,0,1,0,0,0,0,0,5004,
151,8,0,"7-1,41-50",0,0,0,0,0,0,0,605-1,1888,0,0,0,2001,mall-10000151,dailyGiftbag,Bumdle_EN1year,0,,1,0,0,0,0,0,0,0,0,3003,
160,8,1,"7-1,41-50",0,0,0,0,0,0,0,803-1,1888,0,0,0,2001,mall-10000160,dailyGiftbag,Bumdle_EN1year,0,,1,0,0,0,0,0,0,0,0,3003,
161,8,2,7-1,0,0,0,0,0,0,0,801-1,1288,0,0,0,2001,mall-10000161,dailyGiftbag,Bumdle_EN1year,0,,1,0,0,0,0,0,0,0,0,3003,
163,8,0,0,0,9000,0,0,0,0,0,,480,960,0,0,2001,mall-10000163,dailyGiftbag,Bumdle_yellow,50,,1,0,0,0,0,0,0,0,0,3002,
164,8,0,0,0,0,9000,0,0,0,0,,480,960,0,0,2001,mall-10000164,dailyGiftbag,Bumdle_yellow,50,,1,0,0,0,0,0,0,0,0,3002,
165,8,0,0,0,0,0,9000,0,0,0,,480,960,0,0,2001,mall-10000165,dailyGiftbag,Bumdle_yellow,50,,1,0,0,0,0,0,0,0,0,3002,
166,8,0,0,0,0,0,0,3000,0,0,,480,960,0,0,2001,mall-10000166,dailyGiftbag,Bumdle_yellow,50,,1,0,0,0,0,0,0,0,0,3002,
167,8,0,"1-10,3-10",0,0,0,0,0,0,0,,430,860,0,0,2001,mall-10000167,dailyGiftbag,Bumdle_yellow,50,,1,0,0,0,0,0,0,0,0,3002,
